Station information:,,,,,,,,,,,
Name,Agent Number,Network Number,Latitude (dec.deg),Longitude (dec.deg),Height (m),Posn_Precision,Observing Authority,,,,
Chertsey Cws,39661,H31793,-43.79393,171.9607,108,H,Niwa,,,,
"Note: Position precision types are: ""W"" = based on whole minutes, ""T"" = estimated to tenth minute,",,,,,,,,,,,
"G = derived from gridref , ""E"" = error cases derived from gridref,",,,,,,,,,,,
"H = based on GPS readings (NZGD49), ""D"" = by definition i.e. grid points.",,,,,,,,,,,
,,,,,,,,,,,
Max_min: Hourly,,,,,,,,,,,
Station,Date(NZST),Tmax(C),Period(Hrs),Tmin(C),Period(Hrs),Tgmin(C),Period(Hrs),Tmean(C),RHmean(%),Period(Hrs),Freq
39661,20230701:0000,4.6,1,4.4,1,-,-,4.4,84,1,H
39661,20230701:0100,4.5,1,3.9,1,-,-,4.1,83,1,H
39661,20230701:0200,4.0,1,3.4,1,-,-,3.7,85,1,H
39661,20230701:0300,3.4,1,2.8,1,-,-,3.1,86,1,H
39661,20230701:0400,2.8,1,2.6,1,-,-,2.7,87,1,H
39661,20230701:0500,2.6,1,2.1,1,-,-,2.2,87,1,H
39661,20230701:0600,2.4,1,1.2,1,-,-,1.8,86,1,H
39661,20230701:0700,1.3,1,0.9,1,-,-,1.0,88,1,H
39661,20230701:0800,1.6,1,1.1,1,-,-,1.4,86,1,H
39661,20230701:0900,1.8,1,0.5,1,-,-,1.0,84,1,H
39661,20230701:1000,3.8,1,1.8,1,-,-,2.8,78,1,H
39661,20230701:1100,6.5,1,3.8,1,-,-,5.2,74,1,H
39661,20230701:1200,8.8,1,6.5,1,-,-,7.6,63,1,H
39661,20230701:1300,8.8,1,8.0,1,-,-,8.3,58,1,H
39661,20230701:1400,9.0,1,8.3,1,-,-,8.6,58,1,H
39661,20230701:1500,9.6,1,8.9,1,-,-,9.2,54,1,H
39661,20230701:1600,9.7,1,8.9,1,-,-,9.2,53,1,H
39661,20230701:1700,8.9,1,7.6,1,-,-,8.2,58,1,H
39661,20230701:1800,8.0,1,7.0,1,-,-,7.5,58,1,H
39661,20230701:1900,8.2,1,5.7,1,-,-,6.8,60,1,H
39661,20230701:2000,8.4,1,6.2,1,-,-,7.4,60,1,H
39661,20230701:2100,7.2,1,4.0,1,-,-,4.5,80,1,H
39661,20230701:2200,4.0,1,3.0,1,-,-,3.6,81,1,H
39661,20230701:2300,3.0,1,2.0,1,-,-,2.6,82,1,H
39661,20230702:0000,3.5,1,2.0,1,-,-,2.6,79,1,H
