Station information:,,,,,,,
Name,Agent Number,Network Number,Latitude (dec.deg),Longitude (dec.deg),Height (m),Posn_Precision,Observing Authority
Methven Cws,36645,H31665,-43.63978,171.65205,313,H,Niwa
"Note: Position precision types are: ""W"" = based on whole minutes, ""T"" = estimated to tenth minute,",,,,,,,
"G = derived from gridref , ""E"" = error cases derived from gridref,",,,,,,,
"H = based on GPS readings (NZGD49), ""D"" = by definition i.e. grid points.",,,,,,,
,,,,,,,
Earth Temp: 10cm,,,,,,,
Station,Date(NZST),Tearth(C),Depth(cm),,,,
36645,20090101:0000,20.5,10,,,,
36645,20090101:0100,20.2,10,,,,
36645,20090101:0200,19.9,10,,,,
36645,20090101:0300,19.6,10,,,,
36645,20090101:0400,19.4,10,,,,
36645,20090101:0500,19.1,10,,,,
36645,20090101:0600,18.9,10,,,,
36645,20090101:0700,18.6,10,,,,
36645,20090101:0800,18.5,10,,,,
36645,20090101:0900,18.4,10,,,,
36645,20090101:1000,18.6,10,,,,
36645,20090101:1100,18.9,10,,,,
36645,20090101:1200,19.3,10,,,,
36645,20090101:1300,19.8,10,,,,
36645,20090101:1400,20.4,10,,,,
36645,20090101:1500,21,10,,,,
36645,20090101:1600,21.6,10,,,,
36645,20090101:1700,22,10,,,,
36645,20090101:1800,22.3,10,,,,
36645,20090101:1900,22.3,10,,,,
36645,20090101:2000,22.2,10,,,,
36645,20090101:2100,22,10,,,,
36645,20090101:2200,21.7,10,,,,
36645,20090101:2300,21.2,10,,,,
36645,20090102:0000,20.8,10,,,,
36645,20090102:0100,20.4,10,,,,
36645,20090102:0200,20,10,,,,
36645,20090102:0300,19.7,10,,,,
36645,20090102:0400,19.4,10,,,,
36645,20090102:0500,19.1,10,,,,
36645,20090102:0600,18.8,10,,,,
36645,20090102:0700,18.6,10,,,,
36645,20090102:0800,18.5,10,,,,
36645,20090102:0900,18.4,10,,,,
36645,20090102:1000,18.4,10,,,,
36645,20090102:1100,18.7,10,,,,
36645,20090102:1200,19,10,,,,
36645,20090102:1300,19.5,10,,,,
36645,20090102:1400,20,10,,,,
36645,20090102:1500,20.6,10,,,,
36645,20090102:1600,21,10,,,,
36645,20090102:1700,21.3,10,,,,
36645,20090102:1800,21.2,10,,,,
36645,20090102:1900,21,10,,,,
36645,20090102:2000,20.8,10,,,,
36645,20090102:2100,20.5,10,,,,
36645,20090102:2200,20.2,10,,,,
36645,20090102:2300,20,10,,,,
36645,20090103:0000,19.7,10,,,,
36645,20090103:0100,19.4,10,,,,
36645,20090103:0200,19.1,10,,,,
36645,20090103:0300,18.9,10,,,,
36645,20090103:0400,18.6,10,,,,
36645,20090103:0500,18.4,10,,,,
36645,20090103:0600,18.1,10,,,,
36645,20090103:0700,17.7,10,,,,
36645,20090103:0800,17.4,10,,,,
36645,20090103:0900,17.3,10,,,,
36645,20090103:1000,17.3,10,,,,
