Station information:,,,,,,,,,,,
Name,Agent Number,Network Number,Latitude (dec.deg),Longitude (dec.deg),Height (m),Posn_Precision,Observing Authority,,,,
Methven Cws,36645,H31665,-43.63978,171.65205,313,H,Niwa,,,,
"Note: Position precision types are: ""W"" = based on whole minutes"," ""T"" = estimated to tenth minute",,,,,,,,,,
G = derived from gridref ," ""E"" = error cases derived from gridref",,,,,,,,,,
H = based on GPS readings (NZGD49)," ""D"" = by definition i.e. grid points.",,,,,,,,,,
,,,,,,,,,,,
Max_min: Hourly,,,,,,,,,,,
Station,Date(NZST),Tmax(C),Period(Hrs),Tmin(C),Period(Hrs),Tgmin(C),Period(Hrs),Tmean(C),RHmean(%),Period(Hrs),Freq
36645,20230701:0000,3,1,2.7,1,-,-,2.8,83,1,H
36645,20230701:0100,2.9,1,2.6,1,-,-,2.7,82,1,H
36645,20230701:0200,2.7,1,2.1,1,-,-,2.3,84,1,H
36645,20230701:0300,2.6,1,2.4,1,-,-,2.5,81,1,H
36645,20230701:0400,2.5,1,2,1,-,-,2.2,81,1,H
36645,20230701:0500,2.1,1,1.7,1,-,-,1.8,82,1,H
36645,20230701:0600,1.8,1,1.2,1,-,-,1.4,82,1,H
36645,20230701:0700,1.3,1,-0.2,1,-,-,0.6,82,1,H
36645,20230701:0800,-0.1,1,-0.6,1,-,-,-0.2,83,1,H
36645,20230701:0900,0.4,1,-0.9,1,-,-,-0.3,81,1,H
36645,20230701:1000,3.5,1,0.4,1,-,-,1.8,72,1,H
36645,20230701:1100,8.4,1,3.5,1,-,-,6.4,55,1,H
36645,20230701:1200,10.4,1,7.9,1,-,-,9.1,44,1,H
36645,20230701:1300,7.9,1,6.9,1,-,-,7.2,52,1,H
36645,20230701:1400,10,1,7.9,1,-,-,9.4,40,1,H
36645,20230701:1500,9.5,1,9.1,1,-,-,9.2,41,1,H
36645,20230701:1600,9.5,1,8.6,1,-,-,9.1,44,1,H
36645,20230701:1700,8.6,1,7.8,1,-,-,8.2,47,1,H
36645,20230701:1800,8.2,1,6.9,1,-,-,7.3,46,1,H
36645,20230701:1900,7.1,1,5.7,1,-,-,6.2,53,1,H
36645,20230701:2000,7.3,1,6.1,1,-,-,6.5,52,1,H
36645,20230701:2100,7.3,1,2.3,1,-,-,4.2,70,1,H
36645,20230701:2200,2.4,1,1.6,1,-,-,1.8,83,1,H
36645,20230701:2300,2,1,1.6,1,-,-,1.8,81,1,H
36645,20230702:0000,2,1,-0.3,1,-,-,1.1,78,1,H
36645,20230702:0100,1,1,-0.8,1,-,-,-0.4,79,1,H
36645,20230702:0200,1.9,1,1,1,-,-,1.6,56,1,H
36645,20230702:0300,2.8,1,1.2,1,-,-,2.1,53,1,H
36645,20230702:0400,2.7,1,1.7,1,-,-,2,55,1,H
36645,20230702:0500,3.5,1,1.3,1,-,-,2.8,47,1,H
